Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Publication Stage,Access Type,EID
"Horwood C.R., Grignol V., Lahey S., Pemmaraju V., Schafer A., Terando A.M., Agnese D.M.","57202130918;35483595600;56548554000;57205647761;57205650829;6506702778;6602542407;","Radioactive seed vs wire localization for nonpalpable breast lesions: A single institution review",2019,"Breast Journal",,"10.1111/tbj.13201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060919672&doi=10.1111%2ftbj.13201&partnerID=40&md5=84d73d769505360fd594a9f8c91fd58c","The aim of this study was to compare wire localization (WL) and radioactive seed localization (RSL) for nonpalpable breast lesions with regard to margin status, re-excision rate, procedure length, and complications related to localization. A retrospective review of the electronic health records at a single institution was performed. There was no difference in re-excision rate, margin positivity, volume of tissue removed, and complication rate for RSL vs WL (P = 0.9934, P = 0.9934, P = 0.6645, and P = 0.4716 respectively). The only difference was a longer OR time, RSL = 104.408 minutes vs WL = 82.386 minutes. (P = 0.0163). RSL and WL are comparable techniques for localization of nonpalpable breast lesions. © 2019 Wiley Periodicals, Inc.","Final",,2-s2.0-85060919672
"Weeda E.R., Caranfa J.T., Lyman G.H., Kuderer N.M., Nguyen E., Coleman C.I., Kohn C.G.","57034016300;55159664300;56606833000;6603180461;57021220300;54790550700;47461283400;","External validation of three risk stratification rules in patients presenting with pulmonary embolism and cancer",2019,"Supportive Care in Cancer",,"10.1007/s00520-018-4380-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051550749&doi=10.1007%2fs00520-018-4380-1&partnerID=40&md5=73fdef059c34d83cff10554777c246bb","Numerous risk stratification rules exist to predict post-pulmonary embolism (PE) mortality; however, few were designed for use in cancer patients. In the EPIPHANY registry, adapted versions of common rules (the Hestia criteria, Pulmonary Embolism Severity Index [PESI], and simplified PESI [sPESI]) displayed high sensitivity for prognosticating mortality in PE patients with cancer. These adapted rules have yet to be externally validated. Therefore, we sought to evaluate the performance of an adapted Hestia criteria, PESI, and sPESI for predicting 30-day post-PE mortality in patients with cancer. We identified consecutive, adults presenting with objectively confirmed PE and cancer to our institution (November 2010 to January 2014). The proportion of patients categorized as low or high risk by these three risk stratification rules was calculated, and each rule’s accuracy for predicting 30-day all-cause mortality was determined. Of the 124 patients with PE and active cancer identified, 25 (20%) experienced mortality at 30 days. The adapted Hestia criteria categorized 23 (19%) patients as low risk, while exhibiting a sensitivity of 88% (95% confidence interval [CI] = 68–97%), a negative predictive value NPV of 87% (95% CI = 65–97%), and a specificity of 20% (95% CI = 13–30%). A total of 38 (31%) and 30 (24%) patients were low risk by the adapted PESI and sPESI, with both displaying sensitivities of 92% and NPVs > 93%. Specificities were 36% (95% CI = 27–47%) and 28% (95% CI = 20–38%) for PESI and sPESI. In our external validation, the adapted Hestia, PESI, and sPESI demonstrated high sensitivity but low specificity for 30-day PE mortality in patients with cancer. Larger, prospective trials are needed to optimize strategies for risk stratification in this population. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","Final",,2-s2.0-85051550749
"Chabanon R.M., Muirhead G., Krastev D.B., Adam J., Morel D., Garrido M., Lamb A., Hénon C., Dorvault N., Rouanne M., Marlow R., Bajrami I., Cardeñosa M.L., Konde A., Besse B., Ashworth A., Pettitt S.J., Haider S., Marabelle A., Tutt A.N., Soria J.-C., Lord C.J., Postel-Vinay S.","57191279165;57207302555;14719844000;23110244900;57193664532;57201479190;57201473338;57190390408;36514305300;46062409600;8767894500;54924287600;57202321457;56010639600;57198904855;35379025100;6507342502;7102816163;25622307000;7003428170;7201420394;7101632397;15833175200;","PARP inhibition enhances tumor cell-intrinsic immunity in ERCC1-deficient non-small cell lung cancer",2019,"The Journal of clinical investigation",,"10.1172/JCI123319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062383282&doi=10.1172%2fJCI123319&partnerID=40&md5=536f0582cdb7face3fe7ad4886865b28","The cyclic GMP-AMP synthase/stimulator of IFN genes (cGAS/STING) pathway detects cytosolic DNA to activate innate immune responses. Poly(ADP-ribose) polymerase inhibitors (PARPi) selectively target cancer cells with DNA repair deficiencies such as those caused by BRCA1 mutations or ERCC1 defects. Using isogenic cell lines and patient-derived samples, we showed that ERCC1-defective non-small cell lung cancer (NSCLC) cells exhibit an enhanced type I IFN transcriptomic signature and that low ERCC1 expression correlates with increased lymphocytic infiltration. We demonstrated that clinical PARPi, including olaparib and rucaparib, have cell-autonomous immunomodulatory properties in ERCC1-defective NSCLC and BRCA1-defective triple-negative breast cancer (TNBC) cells. Mechanistically, PARPi generated cytoplasmic chromatin fragments with characteristics of micronuclei; these were found to activate cGAS/STING, downstream type I IFN signaling, and CCL5 secretion. Importantly, these effects were suppressed in PARP1-null TNBC cells, suggesting that this phenotype resulted from an on-target effect of PARPi on PARP1. PARPi also potentiated IFN-γ-induced PD-L1 expression in NSCLC cell lines and in fresh patient tumor cells; this effect was enhanced in ERCC1-deficient contexts. Our data provide a preclinical rationale for using PARPi as immunomodulatory agents in appropriately molecularly selected populations.","Final",Open Access,2-s2.0-85062383282
"Ledoux M., Rhondali W., Lafumas V., Berthiller J., Teissere M., Piegay C., Couray-Targe S., Schott A.-M., Bruera E., Filbet M.","55867481800;23467721400;56720318200;16834400500;57206698592;55998312300;6507805327;7004534590;35516117800;24329317400;","Palliative care referral and associated outcomes among patients with cancer in the last 2 weeks of life",2019,"BMJ supportive & palliative care",2,"10.1136/bmjspcare-2014-000791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046906583&doi=10.1136%2fbmjspcare-2014-000791&partnerID=40&md5=c02e558daeb8c45de2bf34a47713fb37","BACKGROUND: Palliative care (PC) improves the quality of life of patients with advanced cancer. Our aim was to describe PC referral among patients with advanced cancer, and associated outcomes in an academic medical centre. METHODS: We reviewed the medical records of 536 inpatients with cancer who had died in 2010. Our retrospective study compared patients who accessed PC services with those who did not. Statistical analysis was conducted using non-parametric tests due to non-normal distribution. We also conducted a multivariate analysis using a logistic regression model including age, gender, type of cancer and metastatic status. RESULTS: Out of 536 patients, 239 (45%) had PC referral. The most common cancer types were respiratory (22%) and gastrointestinal (19%). Patients with breast cancer (OR 23.76; CI 6.12 to 92.18) and gynaecological cancer (OR 7.64; CI 2.61 to 22.35) had greater PC access than patients with respiratory or haematological cancer. Patients referred to PC had significantly less chemotherapy in the last 2 weeks of life than non-referred patients, with 22 patients (9%) vs 59 (19%; p<0.001). PC-referred patients had significantly fewer admissions to intensive care units in the last month of life than non-referred patients, with 14 (6%) vs 58 (20%; p<0.001). CONCLUSIONS: There was a large variation in access to PC according to the type of cancer. There is a need to improve collaboration between the PC service and the respiratory, cancer and haematology specialists. Further research will be required to determine the modality and the impact of this collaboration. Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.","Final",,2-s2.0-85046906583
"Conley C.C., Andersen B.L.","57002774300;57203178043;","Lemons to lemonade: Effects of a biobehavioral intervention for cancer patients on later life changes",2019,"Health Psychology",,"10.1037/hea0000717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061546165&doi=10.1037%2fhea0000717&partnerID=40&md5=b1ffaa8eb79c6bd859f0414674e00915","Objective: The sustainment of gains for cancer patients provided psychosocial interventions is unclear. Furthermore, it is unknown whether interventions also yield long-term positive changes. The present study experimentally tests if an intervention delivered at cancer diagnosis could yield broad, long-term, changes in domains such as relationships, worldview, priorities, and goals. It was hypothesized that the intervention group would report more positive and fewer negative life changes during survivorship versus the control group. Method: Patients with Stage II/III breast cancer were randomized to biobehavioral intervention (BBI) or assessment only. At randomization, patients completed measures of cancer stress (Impact of Events Scale [IES]) and depressive symptoms (Center for Epidemiological Studies Depression scale [CES-D]). At the 24-month follow-up, survivors (N = 160) completed a thought listing task with 7 prompts (e.g., ""relationships""). Patients listed thoughts about change since diagnosis and rated each for valence. Groups were compared on the frequency of positive/negative thoughts across prompts. Listed thoughts were content analyzed. Results: BBI survivors reported significantly more positive changes (p < .05), controlling for IES and CES-D. Groups did not differ on negative changes. Patients with higher IES/CES-D scores reported more negative changes at 24 months (ps < .05). Content analysis revealed a predominance (13/23) of positive thought categories. Conclusions: Adding support for efficacy, BBI survivors reported significantly more positive life changes since diagnosis than survivors not receiving BBI. More generally, heightened stress/depressive symptoms at diagnosis foretold survivors' reporting of more negative changes. Thought listing is a strategy to obtain personalized accounts of life changes after breast cancer. © 2019 American Psychological Association.","Final",,2-s2.0-85061546165
"Liu Y.","57206819979;","A global immune gene expression signature for human cancers",2019,"Oncotarget",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062760072&partnerID=40&md5=0837a907cf696ee50c5572d18ebc0d8e","Background: Except for a few, the immune gene signatures for most cancer types are not available. We sought to identify a global immune gene signature that is applicable to all human cancers. Results: We identified an immune gene signature that was intimately correlated with tumor immune characteristics of human cancers and consisted of 382 genes indicative of different immune cell types. The T helper type 1 and 2 cell activation pathway was most significantly enriched in this global immune gene set, while transcription factors, such as SPI1 and STAT family members, were the top regulators of this gene signature. Skin cutaneous melanoma with higher expression of this immune gene signature had significantly longer survival than those with lower immune gene expression. Breast cancer patients with higher immune gene signature were significantly associated with advanced-stage. Methods: We analyzed the gene expression profiles of 10,062 tumor samples from 32 cancer types in The Cancer Genome Atlas Pan-Cancer data set. Hierarchical clustering analysis of previously-defined immune genes was performed to identify a pan-cancer immune gene signature. Pathway and upstream regulator analyses were used to identify significantly enriched signaling pathways and transcription factors. Kaplan-Meier analysis was used to evaluate the survival difference between dichotomic groups with different immune gene signatures. Correlation of immune gene signature with tumor stage was also examined. Conclusions: Our identified immune gene signature is applicable in human cancers and can be used to characterize tumor immunogenicity within and across cancer types. Clinical implication of this immune gene set warrants future investigation. Copyright: Liu. This is an open-access article distributed under the terms of the Creative Commons Attribution License 3.0 (CC BY 3.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Final",,2-s2.0-85062760072
"Mori S., Hickey A., Dusza S.W., Lacouture M.E., Markova A.","57203845870;57205365690;6602264879;6602235245;54412538500;","Markers of systemic involvement and death in hospitalized cancer patients with severe cutaneous adverse reactions",2019,"Journal of the American Academy of Dermatology",,"10.1016/j.jaad.2018.10.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059768945&doi=10.1016%2fj.jaad.2018.10.039&partnerID=40&md5=e4155f7705152d596cb3188dee6e657c","Background: Severe cutaneous adverse reactions (SCARs) are frequent in inpatient oncology. Early intervention might reduce morbidity, mortality, and hospitalization costs; however, current clinical and histologic features are unreliable SCAR predictors. There is a need to identify rational markers of SCARs that could lead to effective therapeutic interventions. Objective: To characterize the clinical and serologic features of hospitalized patients with cancer who developed SCARs. Methods: Retrospective review of 49 hospitalized cancer patients with a morbilliform rash, recorded testing for serum cytokines (interleukin [IL] 6, IL-10, and tumor necrosis factor [TNF] α) or elafin, and a prior dermatology consultation. Patients were categorized as having a simple morbilliform rash without systemic involvement or complex morbilliform rash with systemic involvement. Results: Fifteen out of 49 patients (30.6%) were deceased at 6 months from time of dermatologic consultation. Elafin, IL-6, and TNF-α were significantly higher in patients who died compared with patients who were still alive at 6 months. IL-6 and IL-10 were significantly higher in patients with a drug-related complex rash. Limitations: Retrospective design, limited sample size, and high-risk patient population. Conclusion: In cancer patients with SCARs, elafin, IL-6, and TNF-α levels might predict a poor outcome. Agents directed against these targets might represent rational treatments for the prevention of fatal SCARs. © 2018 American Academy of Dermatology, Inc.","Final",,2-s2.0-85059768945
"Barr R.G., Managuli R.A.","7401833148;35612788900;","A Clinical Study Comparing the Diagnostic Performance of Assist Strain Ratio Against Manual Strain Ratio in Ultrasound Breast Elastography",2019,"Ultrasound Quarterly",,"10.1097/RUQ.0000000000000398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062538238&doi=10.1097%2fRUQ.0000000000000398&partnerID=40&md5=fa9b5241599fbffdb0e8b4513f11d121","Objective Strain ratio (SR) is a semiquantitative parameter in differentiating benign from malignant tumors in breast ultrasound elastography. Currently, SR is computed manually and, thus, user dependent. The objective of this study was to evaluate the performance of a new tool assist strain ratio (ASR) and determine how it performs compared with an expert sonologist. Methods Ninety-one patients scheduled for breast biopsy were included in this institutional review board-approved/Health Insurance Portability and Accountability Act-compliant study. For manual strain ratio (MSR), fat and lesion were manually outlined, whereas for ASR, the clinician indicated the lesion center and the fat-to-lesion ratio is computed automatically. Three measurements were obtained for each lesion. The same raw data were used to calculate the MSR and ASR. Results The SR thresholds to differentiate benign from malignant tumors were determined using the Youden index. For MSR, the cutoff was 2.7, and for ASR was 2.8. The MSR showed a sensitivity of 88%, specificity of 64%, accuracy of 77%, positive predictive value of 72%, and negative predictive value of 92.1%. Corresponding ASR showed a sensitivity of 86%, specificity of 76%, accuracy of 81%, positive predictive value of 79%, and negative predictive value of 84%. The areas under the curve for the MSR and ASR were 0.83 and 0.85, respectively. The average coefficients of variation for the MSR and ASR measurements were 43% and 30%, respectively. Conclusion Assist strain ratio demonstrated similar diagnostic performance compared with MSR. In addition, the coefficient of variation of ASR is lower, implying lower intraoperator dependency. Thus, ASR may aid less-experienced scanners in obtaining improved results. © 2019 Wolters Kluwer Health, Inc. All rights reserved.","Final",,2-s2.0-85062538238
"Fabbro M., Moore K.N., Dørum A., Tinker A.V., Mahner S., Bover I., Banerjee S., Tognon G., Goffin F., Shapira-Frommer R., Wenham R.M., Hellman K., Provencher D., Harter P., Vázquez I.P., Follana P., Pineda M.J., Mirza M.R., Hazard S.J., Matulonis U.A.","7004349197;57192842546;57192185947;7005427030;24401399500;6507453064;55433897700;16551527200;7004512023;23493531500;57200155286;7003291775;7003694463;55993841600;57203976335;12776514400;57195291847;7102855234;57207650618;6701616188;","Efficacy and safety of niraparib as maintenance treatment in older patients (≥ 70 years) with recurrent ovarian cancer: Results from the ENGOT-OV16/NOVA trial",2019,"Gynecologic Oncology",,"10.1016/j.ygyno.2018.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059618330&doi=10.1016%2fj.ygyno.2018.12.009&partnerID=40&md5=38684e8798d484b883436497a825020e","Objective: To analyze the safety and efficacy of niraparib in patients aged ≥70 years with recurrent ovarian cancer in the ENGOT-OV16/NOVA trial. Methods: The trial enrolled 2 independent cohorts with histologically diagnosed recurrent ovarian, fallopian tube, or peritoneal cancer who responded to platinum rechallenge, on the basis of germline breast cancer susceptibility gene mutation (gBRCAmut) status. Patients were randomized 2:1 to receive niraparib (300 mg) or placebo once daily until disease progression. The primary endpoint was progression-free survival (PFS) by blinded independent central review. Adverse events (AEs) of special interest were based on the known safety profile of poly(ADP-ribose) polymerase inhibitors. Results: Patients aged ≥70 years in the gBRCAmut cohort receiving niraparib (n = 14) had not yet reached a median PFS compared with a median PFS of 3.7 months for the same age group in the placebo arm (hazard ratio [HR], 0.09 [95% confidence interval (CI), 0.01 to 0.73]). Non-gBRCAmut patients aged ≥70 years receiving niraparib (n = 47) had a median PFS of 11.3 months compared with 3.8 months in the placebo arm (HR, 0.35 [95% CI, 0.18 to 0.71]). Median duration of follow-up in the niraparib arm was 17.3 months in patients ≥70 years and 17.2 months in patients <70 years. Frequency, severity of AEs, and dose reductions in the niraparib arm were similar in patients aged <70 and ≥ 70 years population. The most common grade ≥ 3 AEs in patients ≥70 years were hematologic: thrombocytopenia event (34.4%), anemia event (13.1%), and neutropenia event (16.4%). Conclusions: For patients ≥70 years of age receiving niraparib as maintenance treatment in the ENGOT-OV16/NOVA trial, PFS benefits and incidence of any grade or serious treatment-emergent AEs were comparable to results in the younger population. Use of niraparib should be considered in this population. © 2018 The Authors","Final",Open Access,2-s2.0-85059618330
"Brandford A., Adegboyega A., Combs B., Hatcher J.","55868452400;8337667600;57201389960;23485288700;","Training Community Health Workers in Motivational Interviewing to Promote Cancer Screening",2019,"Health Promotion Practice",,"10.1177/1524839918761384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044575562&doi=10.1177%2f1524839918761384&partnerID=40&md5=a3103ee3e3ed1a2fdc05b13a8c76309a","Health disparities researchers attempting to engage and effectively deliver interventions to underserved populations often encounter a number of challenges ranging from geographical considerations to more complex issues of medical mistrust. While there are a number of strategies researchers may employ to address these challenges, one of the most successful of these has been the use of community health workers (CHWs). Despite the documented success of CHWs, little information exists on the use of theory-driven intervention strategies with these community partners. Researchers who have partnered with CHWs tend to provide brief descriptions of training strategies and provide little discussion of the challenges and barriers to training a lay population in the delivery of technical interventions, including ensuring fidelity to the intervention protocol. The purpose of this article is to describe the feasibility of training CHWs to deliver a motivational interviewing intervention to promote cancer screening in underserved populations. With this article we present an innovative way to use motivational interviewing delivered by CHWs. Specifically, we will detail the development of the training protocol, the implementation of that training in a variety of research settings, and the development and implementation of fidelity protocols. We will use examples from two research studies where CHWs were successfully trained to use MI to promote cancer screening in underserved communities to highlight the challenges and barriers faced in developing and implementing the training and strategies used to overcome these challenges during the refinement of the intervention. © 2018 Society for Public Health Education.","Final",,2-s2.0-85044575562
"Phalak K.A., Milton D.R., Yang W.T., Bevers T.B., Dogan B.E.","16029563300;55623710500;57202839819;6505807249;7005194119;","Supplemental ultrasound screening in patients with a history of lobular neoplasia",2019,"Breast Journal",,"10.1111/tbj.13191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060657240&doi=10.1111%2ftbj.13191&partnerID=40&md5=a30fa28b7b689c426ccaf40806532b64","To investigate the role of ultrasound (US) screening as an adjunct to annual mammography (M) in breast cancer detection in women with a history of lobular neoplasia (LN) diagnosed following core needle or excisional biopsy. A retrospective review of our database was performed between 11/2006 and 11/2011 to identify patients diagnosed with LN, and underwent annual screening. Patients with a lifetime risk >20% per risk modeling were excluded. The sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and cancer detection rate (CDR) of each screening test were identified. Cancer type and detection modality were recorded. A total of 100 patients who had M and/or US screening were included. Mean patient age was 54.7 years (range 33-83). All 100 patients underwent a mean of 3.9 rounds of screening M and 93 (93%) received US screening (mean 3.3 rounds). Of 93 patients who received both M and US screening, 12 (13%) were diagnosed with breast cancer. Mammographic CDR was 4%. Incremental US CDR was 6.5%. The sensitivity, specificity, and NPV for M screening alone was 33% (10%, 65%), 77% (67%, 85%), and 89% (80%, 95%), respectively. US and mammography screening had a combined sensitivity: 83% (52%, 98%), Specificity: 72% (62%, 81%), NPV: 97% (89%, 100%). Supplemental US screening resulted in a significant increase in sensitivity, yielding 6.5% incremental CDR in this high-risk patient subgroup that does not fulfill ACS high-risk MRI screening criteria. © 2019 Wiley Periodicals, Inc.","Final",,2-s2.0-85060657240
"Kay K., Dolcy K., Bies R., Shah D.K.","56508083400;57205717319;57204887477;56187495600;","Estimation of Solid Tumor Doubling Times from Progression-Free Survival Plots Using a Novel Statistical Approach",2019,"AAPS Journal",,"10.1208/s12248-019-0302-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061262966&doi=10.1208%2fs12248-019-0302-5&partnerID=40&md5=d2573d9ab74f798c7efe5c7f4b6681a7","Tumor doubling time can significantly affect the outcome of anticancer therapy, but it is very challenging to determine. Here, we present a statistical approach that extracts doubling times from progression-free survival (PFS) plots, which inherently contains information regarding the growth of solid tumors. Twelve cancers were investigated and multiple PFS plots were evaluated for each type. The PFS plot showing fastest tumor growth was deemed to best represent the inherent growth kinetics of the solid tumor, and selected for further analysis. The exponential tumor growth rates were extracted from each PFS plot, along with associated variabilities, which ultimately allowed for the estimation of solid tumor doubling times. The mean simulated doubling times for pancreatic cancer, melanoma, hepatocellular carcinoma (HCC), renal cell carcinoma, triple negative breast cancer, non-small cell lung cancer, hormone receptor positive (HR+) breast cancer, human epidermal growth factor receptor-2 positive (HER-2+) breast cancer, gastric cancer, glioblastoma multiforme, colorectal cancer, and prostate cancer were 5.06, 3.78, 3.06, 2.67, 2.38, 2.40, 4.31, 4.12, and 3.84 months, respectively. For all cancers, clinically reported doubling times were within the estimated ranges. For all cancers, except HCC, the growth rates were best characterized by a log-normal distribution. For HCC, the gamma distribution best described the data. The statistical approach presented here provides a qualified method for extracting tumor growth rates and doubling times from PFS plots. It also allows estimation of the distributional characteristics for tumor growth rates and doubling times in a given patient population. © 2019, American Association of Pharmaceutical Scientists.","Final",,2-s2.0-85061262966
"Pan J., Mendes L.P., Yao M., Filipczak N., Garai S., Thakur G.A., Sarisozen C., Torchilin V.P.","56395820800;55896861100;57205387152;55863691300;57193509275;35228169100;25959710000;35514196600;","Polyamidoamine dendrimers-based nanomedicine for combination therapy with siRNA and chemotherapeutics to overcome multidrug resistance",2019,"European Journal of Pharmaceutics and Biopharmaceutics",,"10.1016/j.ejpb.2019.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059845861&doi=10.1016%2fj.ejpb.2019.01.006&partnerID=40&md5=df91efc57cc8288e55ad5c50944feda5","Multidrug resistance (MDR) significantly decreases the therapeutic efficiency of anti-cancer drugs. Its reversal could serve as a potential method to restore the chemotherapeutic efficiency. Downregulation of MDR-related proteins with a small interfering RNA (siRNA) is a promising way to reverse the MDR effect. Additionally, delivery of small molecule therapeutics simultaneously with siRNA can enhance the efficiency of chemotherapy by dual action in MDR cell lines. Here, we conjugated the dendrimer, generation 4 polyamidoamine (G4 PAMAM), with a polyethylene glycol (PEG)-phospholipid copolymer. The amphiphilic conjugates obtained spontaneously self-assembled into a micellar nano-preparation, which can be co-loaded with siRNA onto PAMAM moieties and sparingly water-soluble chemotherapeutics into the lipid hydrophobic core. This system was co-loaded with doxorubicin (DOX) and therapeutic siRNA (siMDR-1) and tested for cytotoxicity against MDR cancer cells: human ovarian carcinoma (A2780 ADR) and breast cancer (MCF7 ADR). The combination nanopreparation effectively downregulated P-gp in MDR cancer cells and reversed the resistance towards DOX. © 2019","Final",,2-s2.0-85059845861
"Choudhery S., Axmacher J., Conners A.L., Geske J., Brandt K.","56148534200;57206781681;54920221000;50561306400;7201686343;","Masses in the era of screening tomosynthesis: Is diagnostic ultrasound sufficient?",2019,"The British journal of radiology",,"10.1259/bjr.20180801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061972541&doi=10.1259%2fbjr.20180801&partnerID=40&md5=396c7fe375573eec039aea4c6f01fee1","METHODS:: All masses recalled from screening digital breast tomosynthesis between July 1, 2017 and December 31, 2017 that were sent either to diagnostic mammography or ultrasound were compared. Size, shape, margins, visibility on ultrasound, diagnostic assessment and pathology of all masses along with breast density were evaluated. RESULTS:: 102/212 digital breast tomosynthesis screen-detected masses were worked up with diagnostic mammography initially and 110/212 were worked up with ultrasound directly. There was no significant difference in ultrasound visibility of masses sent to diagnostic mammography first with those sent to ultrasound first (p = 0.42). 4 (4%) masses sent to mammogram first and 2 (2%) masses sent to ultrasound first were not visualized. There was a significant difference in size between masses that were visualized under ultrasound versus those that were not (p = 0.01), when masses in both groups were assessed cumulatively. CONCLUSIONS:: 98% of digital breast tomosynthesis screen-detected masses sent to ultrasound directly were adequately assessed without diagnostic mammography. ADVANCES IN KNOWLEDGE:: There is potential for avoiding a diagnostic mammogram for evaluation of majority of digital breast tomosynthesis screen-detected masses.","Final",,2-s2.0-85061972541
"Kuo F., Lally K., Lewis M., Vahidi K.","57207487675;57207487396;57207487334;57207488492;","Granular cell tumour in male breast mimicking breast carcinoma",2019,"BMJ Case Reports",,"10.1136/bcr-2018-227805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062583653&doi=10.1136%2fbcr-2018-227805&partnerID=40&md5=ef52e55785c5b8bdb334fdadf098a6ea",[No abstract available],"Final",,2-s2.0-85062583653
"Palesh O., Scheiber C., Kesler S., Gevirtz R., Heckler C., Guido J.J., Janelsins M., Cases M.G., Tong B., Miller J.M., Chrysson N.G., Mustian K.","57201519204;56524309400;7006442653;6701663684;6602851282;7003739036;9243624400;55671308800;57205880569;57203033996;9536057600;6507896166;","Secondary outcomes of a behavioral sleep intervention: A randomized clinical trial",2019,"Health Psychology",,"10.1037/hea0000700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061523559&doi=10.1037%2fhea0000700&partnerID=40&md5=635d0668b353f222a76b973f53bab1a7","Objective: Nearly 80% of cancer patients struggle with insomnia, which is associated with decreased heart rate variability (HRV) and quality of life (QOL). The aim of this secondary analysis was to evaluate the possible effects of Brief Behavioral Therapy for Cancer-Related Insomnia (BBT-CI), delivered during chemotherapy visits, on QOL and HRV in patients with breast cancer (BC). Method: QOL and HRV data were obtained during a pilot clinical trial assessing the feasibility and effects of BBT-CI on insomnia. A total of 71 BC patients (mean age = 52.5 years) were randomly assigned to either BBT-CI or a healthy-eating control intervention (HEAL). BBT-CI and HEAL were delivered over 6 weeks (2 face-to-face sessions plus 4 phone calls) by trained staff at 4 National Cancer Institute-funded Community Oncology Research Program clinics. QOL was measured with the Functional Assessment of Cancer Therapy (FACT-G) and HRV with the Firstbeat device at baseline and after intervention. Results: There were significant improvements in QOL after intervention for BBT-CI (FACT-G, p = .009; FACT-B, p = .016; ANCOVA) and 5-min supine HRV measures (SDNN, p = .005; rMSSD, p = .004; HF, p = .009; ANCOVA) compared with HEAL. Conclusions: Patients randomized to BBT-CI showed improvements in QOL and HRV, providing support for BBT-CI's possible benefit when delivered in the community oncology setting by trained staff. A more definitive efficacy trial of BBT-CI is currently being planned with sufficient statistical power to evaluate the intervention's clinical utility. © 2019 American Psychological Association.","Final",,2-s2.0-85061523559
"Chandra A., Park S.S., Pignolo R.J.","9840390400;37077842800;6603957647;","Potential role of senescence in radiation-induced damage of the aged skeleton",2019,"Bone",,"10.1016/j.bone.2018.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058228253&doi=10.1016%2fj.bone.2018.12.006&partnerID=40&md5=d22d95119379338d94c90c517b3d644c","Human aging-related changes are exacerbated in cases of disease and cancer, and conversely aging is a catalyst for the occurrence of disease and multimorbidity. For example, old age is the most significant risk factor for cancer and among people who suffer from cancer, >60% are above the age of 65. Oxidative stress and DNA damage, leading to genomic instability and telomere dysfunction, are prevalent in aging and radiation-induced damage and are major cellular events that lead to senescence. Human exposures from nuclear fallout, cosmic radiation and clinical radiotherapy (RT) are some common sources of irradiation that affect bone tissue. RT has been used to treat malignant tumors for over a century, but the effects of radiation damage on tumor-adjacent normal tissue has largely been overlooked. There is an increase in the percent survivorship among patients post-RT, and it is in older survivors where the deleterious synergy between aging and radiation exposure conspires to promote tissue deterioration and dysfunction which then negatively impacts their quality of life. Thus, an aging skeleton is already pre-disposed to architectural deterioration, which is further worsened by radiation-induced bone damage. Effects of senescence and the senescence associated secretory phenotype (SASP) have been implicated in age-associated bone loss, but their roles in radiation-associated bone damage are still elusive. RT is used in treatment for a variety of cancers and in different anatomical locations, the sequelae of which include long-term morbidity and lifelong discomfort. Therefore, consideration of the growing evidence that implicates the role of senescence in radiation-induced bone damage argues in favor of exploiting current senotherapeutic approaches as a possible prevention or treatment. © 2018 Elsevier Inc.","Final",,2-s2.0-85058228253
